asset,devicename,alarm_id,device_id,"FROM_UNIXTIME(start_ts / 1000)","FROM_UNIXTIME(clear_ts / 1000)","FROM_UNIXTIME(end_ts / 1000)",severity,status,type,ack_duration,alarm_duration
Factory1,F1_Device3,edc539d0-31a2-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 04:40:43.1790","2020-01-08 04:41:43.1740","2020-01-08 04:41:23.1720","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,39993
Factory1,F1_Device2,4d1e40c0-31a3-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 04:43:23.1480","2020-01-08 04:43:43.1490","2020-01-08 04:43:23.1480","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device3,4d240d20-31a3-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 04:43:23.1850","2020-01-08 04:43:43.1740","2020-01-08 04:43:23.1850","1970-01-01 05:30:00.0000",CLEARED_UNACK,Voltage,0,0
Factory1,F1_Device2,1ef978e0-31bc-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 07:41:03.1490","2020-01-08 07:41:23.1470","2020-01-08 07:41:03.1490","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device1,5a93f4c0-31bc-11ea-9fd6-0326052de538,613da120-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 07:42:43.1470","2020-01-08 07:43:03.1470","2020-01-08 07:42:43.1470","1970-01-01 05:30:00.0000",CLEARED_UNACK,Voltage,0,0
Factory1,F1_Device2,896f7060-31cd-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 09:45:43.2050","2020-01-08 09:46:03.1460","2020-01-08 09:45:43.2050","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device2,d0ed22c0-31cd-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 09:47:43.1480","2020-01-08 09:48:03.1460","2020-01-08 09:47:43.1480","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device1,2aa7e920-31cf-11ea-9fd6-0326052de538,613da120-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 09:57:23.1850","2020-01-08 09:57:43.1470","2020-01-08 09:57:23.1850","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device2,4e653bb0-31cf-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 09:58:23.1460","2020-01-08 09:58:43.2400","2020-01-08 09:58:23.1460","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device3,c5ad3f90-30b9-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 00:51:43.1750","2020-01-07 00:52:03.1740","2020-01-07 00:51:43.1750","1970-01-01 05:30:00.0000",CLEARED_UNACK,Voltage,0,0
Factory1,F1_Device1,9ffdbfb0-3116-11ea-9fd6-0326052de538,613da120-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 11:56:23.1470","2020-01-07 11:56:43.1460","2020-01-07 11:56:23.1470","1970-01-01 05:30:00.0000",CLEARED_UNACK,Voltage,0,0
Factory1,F1_Device1,369ac030-3144-11ea-9fd6-0326052de538,613da120-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 17:22:43.1860","2020-01-07 17:23:03.1830","2020-01-07 17:22:43.1860","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device2,3694a5b0-3144-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 17:22:43.1470","2020-01-07 17:23:03.1950","2020-01-07 17:22:43.1470","1970-01-01 05:30:00.0000",CLEARED_UNACK,Voltage,0,0
Factory1,F1_Device3,36a48430-3144-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 17:22:43.2500","2020-01-07 17:23:23.2050","2020-01-07 17:23:03.1840","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,19934
Factory1,F1_Device3,72747970-31bc-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 07:43:23.2050","2020-01-08 07:44:03.1730","2020-01-08 07:43:43.1910","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,19986
Factory1,F1_Device1,4e6d8940-3144-11ea-9fd6-0326052de538,613da120-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 17:23:23.1550","2020-01-07 17:24:23.1470","2020-01-07 17:24:03.1470","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,39992
Factory1,F1_Device3,0a882260-3150-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 18:47:23.2050","2020-01-07 18:47:43.1740","2020-01-07 18:47:23.2050","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device1,726c1500-31bc-11ea-9fd6-0326052de538,613da120-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 07:43:23.1520","2020-01-08 07:44:23.1490","2020-01-08 07:44:03.1470","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,39995
Factory1,F1_Device1,0a7f6fd0-3150-11ea-9fd6-0326052de538,613da120-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 18:47:23.1480","2020-01-07 18:48:23.1480","2020-01-07 18:48:03.1460","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,39998
Factory1,F1_Device2,5205fbd0-3150-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 18:49:23.1490","2020-01-07 18:49:43.1470","2020-01-07 18:49:23.1490","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device2,81b503d0-3150-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-07 18:50:43.1480","2020-01-07 18:51:03.1460","2020-01-07 18:50:43.1480","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device2,dcb0f8c0-317d-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 00:15:23.1470","2020-01-08 00:15:43.1490","2020-01-08 00:15:23.1470","1970-01-01 05:30:00.0000",CLEARED_UNACK,Voltage,0,0
Factory1,F1_Device1,46db94c0-31a2-11ea-9fd6-0326052de538,613da120-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 04:36:03.1480","2020-01-08 04:36:23.1790","2020-01-08 04:36:03.1480","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device1,e1d50b00-31a2-11ea-9fd6-0326052de538,613da120-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 04:40:23.1520","2020-01-08 04:40:43.1360","2020-01-08 04:40:23.1520","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device3,a21ec680-31bc-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 07:44:43.1750","2020-01-08 07:45:03.1750","2020-01-08 07:44:43.1750","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device2,a13e1ac0-31cd-11ea-9fd6-0326052de538,7f5ad3d0-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 09:46:23.1480","2020-01-08 09:46:43.1460","2020-01-08 09:46:23.1480","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device3,dcddc6c0-31cd-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 09:48:03.1780","2020-01-08 09:48:23.1740","2020-01-08 09:48:03.1780","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device1,f4b068c0-31cd-11ea-9fd6-0326052de538,613da120-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 09:48:43.1470","2020-01-08 09:49:03.1470","2020-01-08 09:48:43.1470","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device3,f4b8f440-31cd-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 09:48:43.2030","2020-01-08 09:49:03.2730","2020-01-08 09:48:43.2030","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device1,187905f0-31ce-11ea-9fd6-0326052de538,613da120-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 09:49:43.1820","2020-01-08 09:50:03.1470","2020-01-08 09:49:43.1820","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device3,2468e6a0-31ce-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 09:50:03.2090","2020-01-08 09:50:23.1740","2020-01-08 09:50:03.2090","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device3,77d911c0-31ce-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 09:52:23.1950","2020-01-08 09:52:43.2100","2020-01-08 09:52:23.1950","1970-01-01 05:30:00.0000",CLEARED_UNACK,Voltage,0,0
Factory1,F1_Device3,8fadaf90-31ce-11ea-9fd6-0326052de538,916a1680-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 09:53:03.1750","2020-01-08 09:53:23.1970","2020-01-08 09:53:03.1750","1970-01-01 05:30:00.0000",CLEARED_UNACK,Temperature,0,0
Factory1,F1_Device1,9b941a60-31ce-11ea-9fd6-0326052de538,613da120-1bde-11ea-ab3e-6b9cad39d6c5,"2020-01-08 09:53:23.1420","2020-01-08 09:53:43.1980","2020-01-08 09:53:23.1420","1970-01-01 05:30:00.0000",CLEARED_UNACK,Voltage,0,0
